sample,pandoc_rank,tylax_rank,mitex_eqs_rank,typetex_approx_rank,is_rubbish,comment
01_prose/easy,1,1,,1,false,
01_prose/hard,,1,,,false,"the indexing is wrong in typst, 0.1. as compared to 1 in latex. also latex did not understand the refernce to section that is why it rendered ??"
01_prose/medium,2,1,,2,false,
02_eq_simple/easy,1,1,,1,false,no indentation
02_eq_simple/hard,2,1,,,false,
02_eq_simple/medium,2,1,,,false,
03_eq_hard/easy,2,1,,,false,
03_eq_hard/hard,2,1,,,false,
03_eq_hard/medium,2,1,,,false,
04_paper_full/easy,4,1,,4,false,
04_paper_full/medium,,2,,,false,no image.
05_paper_small/easy,2,1,,2,false,
05_paper_small/hard,2,1,,2,false,
05_paper_small/medium,2,1,,2,false,
06_tables_simple/easy,1,1,,1,false,there should be no lines in between the rows except after the first heading one
06_tables_simple/hard,1,1,,1,false,
06_tables_simple/medium,1,1,,1,false,
07_tables_complex/easy,1,1,,1,false,
07_tables_complex/hard,1,1,,1,false,
07_tables_complex/medium,1,1,,1,false,
08_algorithms/easy,,,,,true,
08_algorithms/medium,,,,,true,
09_tikz_simple/easy,,4,,,false,tylax somehow got one red line correct
09_tikz_simple/hard,,,,,true,
09_tikz_simple/medium,,2,,,false,"tylax again got the circle, text is weird (it wrote textbf{center}) and the background is not purple"
10_tikz_complex/easy,,3,,,false,tylax atleast got the words correct
10_tikz_complex/hard,,,,,true,
10_tikz_complex/medium,,,,,true,
11_pgfplots/easy,,,,,true,
11_pgfplots/hard,,,,,true,
11_pgfplots/medium,,,,,true,
12_cv_simple/easy,1,,,1,false,
12_cv_simple/hard,3,,,3,false,
13_cv_complex/easy,3,,,3,false,
14_posters/easy,3,2,,3,false,
14_posters/hard,3,2,,3,false,
14_posters/medium,3,2,,3,false,
15_beamer/easy,2,,,2,false,
15_beamer/hard,,,,,true,
15_beamer/medium,2,,,2,false,
