sample_id,category,complexity_band,ai_prompt_version,ai_final_compiled,ai_attempts,reference_pages,ai_pages,pandoc_compile,tylax_compile,typetex_compile
01_prose_sections_001,01_prose_sections,low,v0,True,1,1,1,ok,ok,ok
01_prose_sections_014,01_prose_sections,medium,v0,True,1,1,1,ok,ok,ok
02_lists_formatting_025,02_lists_formatting,low,v0,True,1,1,1,ok,ok,ok
02_lists_formatting_026,02_lists_formatting,medium,v0,True,2,1,1,ok,ok,ok
02_lists_formatting_024,02_lists_formatting,high,v1_targeted_retry,True,2,1,1,ok,ok,ok
03_math_inline_display_014,03_math_inline_display,low,v1_targeted_retry,True,1,1,1,ok,failed,ok
03_math_inline_display_011,03_math_inline_display,medium,v0,True,1,1,1,ok,failed,ok
03_math_inline_display_004,03_math_inline_display,high,v0,True,1,1,1,ok,failed,ok
04_math_aligned_014,04_math_aligned,low,v0,True,1,2,1,ok,failed,ok
04_math_aligned_008,04_math_aligned,medium,v0,True,1,1,1,failed,failed,ok
04_math_aligned_012,04_math_aligned,high,v1_targeted_retry,True,2,2,2,failed,failed,ok
05_tables_simple_023,05_tables_simple,low,v0,True,2,3,2,ok,ok,ok
05_tables_simple_005,05_tables_simple,medium,v0,True,1,2,3,ok,ok,ok
05_tables_simple_021,05_tables_simple,high,v0,True,1,3,2,ok,ok,ok
06_tables_moderate_010,06_tables_moderate,low,v1_targeted_retry,True,1,2,3,ok,ok,ok
06_tables_moderate_032,06_tables_moderate,medium,v0,True,1,3,3,ok,ok,ok
06_tables_moderate_018,06_tables_moderate,high,v0,True,1,3,3,ok,ok,ok
07_figures_captions_001,07_figures_captions,low,v0,True,2,1,1,ok,ok,ok
07_figures_captions_007,07_figures_captions,medium,v0,True,2,1,1,ok,failed,ok
07_figures_captions_003,07_figures_captions,high,v0,True,1,1,1,ok,failed,ok
08_crossrefs_citations_012,08_crossrefs_citations,low,v0,True,2,1,1,ok,failed,ok
08_crossrefs_citations_013,08_crossrefs_citations,medium,v0,True,2,1,1,ok,failed,ok
08_crossrefs_citations_008,08_crossrefs_citations,high,v1_targeted_retry,True,2,1,1,ok,failed,ok
09_algorithms_021,09_algorithms,low,v3_rescue,True,1,1,1,ok,ok,ok
09_algorithms_005,09_algorithms,medium,v3_rescue,True,1,1,1,ok,ok,ok
09_algorithms_003,09_algorithms,high,v1_targeted_retry,True,1,2,1,ok,ok,ok
10_compact_papers_015,10_compact_papers,high,v0,True,2,2,2,failed,ok,failed
11_forms_cv_letters_007,11_forms_cv_letters,low,v0,True,1,1,1,ok,ok,ok
11_forms_cv_letters_010,11_forms_cv_letters,medium,v0,True,1,1,1,ok,ok,ok
11_forms_cv_letters_002,11_forms_cv_letters,high,v0,True,1,2,3,ok,failed,ok
